[2022-09-08 23:10:07] Node GetValue(9): 1
[2022-09-08 23:10:07] Node GetValue(2): TRUE
[2022-09-08 23:10:07] Node GetValue(9): 1
[2022-09-08 23:10:07] Node GetValue(2): TRUE
[2022-09-08 23:10:10] Node GetValue(9): 1
[2022-09-08 23:10:10] Node GetValue(2): TRUE
[2022-09-08 23:10:11] Node GetValue(9): 1
[2022-09-08 23:10:11] Node GetValue(2): TRUE
[2022-09-09 05:48:46] Node GetValue(9): 1
[2022-09-09 05:48:46] Node GetValue(2): TRUE
[2022-09-09 05:48:47] Node GetValue(9): 1
[2022-09-09 05:48:47] Node GetValue(2): TRUE
[2022-09-09 05:48:50] Node GetValue(9): 1
[2022-09-09 05:48:50] Node GetValue(2): TRUE
[2022-09-09 05:48:50] Node GetValue(9): 1
[2022-09-09 05:48:50] Node GetValue(2): TRUE
[2022-09-09 20:01:55] Node GetValue(9): 1
[2022-09-09 20:01:55] Node GetValue(2): TRUE
[2022-09-09 20:01:57] Node GetValue(9): 1
[2022-09-09 20:01:57] Node GetValue(2): TRUE
[2022-09-09 20:01:59] Node GetValue(9): 1
[2022-09-09 20:01:59] Node GetValue(2): TRUE
[2022-09-09 20:02:00] Node GetValue(9): 1
[2022-09-09 20:02:00] Node GetValue(2): TRUE
[2022-09-10 05:36:05] Node GetValue(9): 1
[2022-09-10 05:36:05] Node GetValue(2): TRUE
[2022-09-10 05:36:06] Node GetValue(9): 1
[2022-09-10 05:36:06] Node GetValue(2): TRUE
[2022-09-10 05:36:09] Node GetValue(9): 1
[2022-09-10 05:36:09] Node GetValue(2): TRUE
[2022-09-10 05:36:10] Node GetValue(9): 1
[2022-09-10 05:36:10] Node GetValue(2): TRUE
[2022-09-10 13:36:04] Node GetValue(9): 1
[2022-09-10 13:36:04] Node GetValue(2): TRUE
[2022-09-10 13:36:05] Node GetValue(9): 1
[2022-09-10 13:36:05] Node GetValue(2): TRUE
[2022-09-10 13:36:07] Node GetValue(9): 1
[2022-09-10 13:36:07] Node GetValue(2): TRUE
[2022-09-10 13:36:08] Node GetValue(9): 1
[2022-09-10 13:36:08] Node GetValue(2): TRUE
[2022-09-10 21:11:38] Node GetValue(9): 1
[2022-09-10 21:11:38] Node GetValue(2): TRUE
[2022-09-10 21:11:39] Node GetValue(9): 1
[2022-09-10 21:11:39] Node GetValue(2): TRUE
[2022-09-10 21:11:42] Node GetValue(9): 1
[2022-09-10 21:11:42] Node GetValue(2): TRUE
[2022-09-10 21:11:43] Node GetValue(9): 1
[2022-09-10 21:11:43] Node GetValue(2): TRUE
